Cassette: ,NTH_EPILT_SIGE_SI_SCAN
COLLECTION DATE/TIME: ,12/9/2015  6:44:28
PROCESS DATE/TIME: ,12/9/2015  6:44:28
EQUIPMENT: ,
OPERATOR: ,
SHIFT: ,
MACHINE TYPE: ,SpectraFx 100 with Dual FIMS Thin Film Measurement System



WAFER ID,"HF02485025",
LOT ID,"NMT_EPILT_TC_B-511",
Cassette,Left,
SLOT,25,
STATUS,"",
DATA TYPE,SE,
RECIPE,"NTH_EPILT_SIGE_SI_SCAN",
RCP CNT,1,
MEAS SET,3L_Ox/SiCAP(300)/SiGe(340)/Si,
MATERIAL,"Thermal SiO2",
SITE,1,
RESULT TYPE,3rd Thickness,2nd Thickness,1st Thickness,1st RI @ 439.9nm,GOF ,
MEAN,    1.3577,  292.5286,  157.5048,13.4876,0.8938,
MIN,    1.0913,  272.8171,  148.9659,13.1171,0.8849,
MAX,    1.4914,  311.6324,  166.0470,13.6074,0.9009,
% STDDEV,  7.2553,  3.8595,  3.0474,  0.8751,  0.3330,
STDDEV,    0.0985,   11.2901,    4.7998,0.1180,0.0030,
3 % STDDEV, 21.7658, 11.5784,  9.1421,  2.6254,  0.9989,
3 STDDEV,    0.2955,   33.8702,   14.3993,0.3541,0.0089,
RANGE,    0.4001,   38.8152,   17.0810,0.4903,0.0160,
Site #,Value,Value,Value,Value,Value, X , Y ,
1,    1.4116,  272.8171,  152.0695,13.1715,0.8849,147.0000,  0.0000,
2,    1.4259,  285.1577,  155.5273,13.3376,0.8916,134.7490,  0.0000,
3,    1.2815,  296.4427,  159.9950,13.4481,0.8932,122.4980,  0.0000,
4,    1.4598,  304.3641,  164.0601,13.4821,0.8966,110.2471,  0.0000,
5,    1.1174,  308.0778,  165.0457,13.5729,0.8926, 97.9961,  0.0000,
6,    1.2034,  305.9307,  164.8231,13.5821,0.8920, 85.7451,  0.0000,
7,    1.2501,  299.9697,  162.0658,13.5713,0.8934, 73.4941,  0.0000,
8,    1.4026,  292.4355,  157.7556,13.5463,0.8946, 61.2431,  0.0000,
9,    1.3626,  285.8841,  156.1565,13.5346,0.8901, 48.9922,  0.0000,
10,    1.3490,  283.6335,  153.6877,13.5437,0.8913, 36.7412,  0.0000,
11,    1.4074,  282.0666,  154.2388,13.5260,0.8916, 24.4902,  0.0000,
12,    1.3764,  281.1771,  153.0106,13.5416,0.8913, 12.2392,  0.0000,
13,    1.4092,  280.9091,  152.1450,13.5467,0.8919,  0.0000,  0.0000,
14,    1.3576,  281.6849,  152.6324,13.5504,0.8919,-12.2392,  0.0000,
15,    1.3877,  283.0757,  152.9344,13.5521,0.8943,-24.4902,  0.0000,
16,    1.3922,  284.0618,  154.0214,13.5413,0.8922,-36.7412,  0.0000,
17,    1.3574,  288.0793,  153.5058,13.5569,0.8953,-48.9922,  0.0000,
18,    1.1810,  295.0146,  156.8109,13.5774,0.8942,-61.2431,  0.0000,
19,    1.0913,  302.6982,  160.8911,13.5873,0.8938,-73.4941,  0.0000,
20,    1.1796,  308.5501,  162.5233,13.5778,0.8971,-85.7451,  0.0000,
21,    1.4808,  309.1687,  163.5552,13.4915,0.9009,-97.9961,  0.0000,
22,    1.4832,  304.9288,  162.8118,13.4567,0.8980,-110.2471,  0.0000,
23,    1.2339,  296.6045,  159.1130,13.4193,0.8928,-122.4980,  0.0000,
24,    1.3934,  287.0443,  152.5763,13.3356,0.8959,-134.7490,  0.0000,
25,    1.4249,  278.3080,  148.9659,13.1623,0.8937,-147.0000,  0.0000,
26,    1.4318,  275.2955,  150.8755,13.2184,0.8902,  0.0000,147.0000,
27,    1.4348,  287.1099,  154.7779,13.3858,0.8932,  0.0000,134.7490,
28,    1.4185,  298.5565,  159.2665,13.4621,0.8982,  0.0000,122.4980,
29,    1.3606,  307.6667,  163.3482,13.5261,0.8983,  0.0000,110.2471,
30,    1.2473,  311.6324,  164.7674,13.5760,0.8965,  0.0000, 97.9961,
31,    1.3235,  309.7641,  163.6271,13.5814,0.8992,  0.0000, 85.7451,
32,    1.1344,  303.3047,  161.8571,13.6074,0.8940,  0.0000, 73.4941,
33,    1.2975,  294.9432,  157.7001,13.5703,0.8947,  0.0000, 61.2431,
34,    1.4120,  287.7024,  155.4459,13.5458,0.8933,  0.0000, 48.9922,
35,    1.3526,  284.4191,  154.1773,13.5501,0.8912,  0.0000, 36.7412,
36,    1.3438,  282.9193,  153.8051,13.5437,0.8922,  0.0000, 24.4902,
37,    1.3964,  281.3548,  153.4306,13.5394,0.8915,  0.0000, 12.2392,
38,    1.3879,  281.2736,  152.7553,13.5398,0.8913,  0.0000,-12.2392,
39,    1.4306,  282.6726,  152.8988,13.5492,0.8923,  0.0000,-24.4902,
40,    1.3687,  283.8230,  153.4391,13.5441,0.8927,  0.0000,-36.7412,
41,    1.3695,  286.7716,  155.1732,13.5284,0.8923,  0.0000,-48.9922,
42,    1.3000,  293.6429,  157.6640,13.5493,0.8939,  0.0000,-61.2431,
43,    1.4360,  301.5768,  161.6457,13.5253,0.8973,  0.0000,-73.4941,
44,    1.4100,  308.2795,  164.1605,13.5212,0.8988,  0.0000,-85.7451,
45,    1.4724,  309.7145,  166.0470,13.4978,0.8972,  0.0000,-97.9961,
46,    1.4391,  305.6384,  164.1540,13.4683,0.8968,  0.0000,-110.2471,
47,    1.3963,  297.1402,  159.4828,13.4259,0.8934,  0.0000,-122.4980,
48,    1.4508,  286.1901,  155.5981,13.3055,0.8929,  0.0000,-134.7490,
49,    1.4914,  274.4250,  150.7161,13.1171,0.8892,  0.0000,-147.0000,